Ioff,Ion,SS,Vth,Vth2
-9.86783,-4.93744,78.36370,0.23264,0.361237
-9.79676,-4.97059,80.28240,0.23124,0.359377
-10.16660,-4.92036,76.28250,0.25060,0.367442
-11.38880,-4.96655,70.89800,0.33497,0.445568
-11.09930,-4.99543,72.63000,0.31333,0.439815
-12.00940,-5.04787,71.35600,0.37725,0.511117
-10.74300,-5.00326,72.45600,0.28483,0.39629
-9.63449,-4.99278,76.81120,0.20975,0.344794
-9.52607,-4.96658,77.37680,0.20322,0.340478
-8.98568,-4.94213,78.05546,0.16104,0.293677
-10.25790,-4.96858,76.97500,0.25973,0.380897
-10.33060,-4.97029,76.57600,0.26492,0.392154
-10.65730,-4.96757,77.59500,0.29823,0.422846
-10.38050,-4.97665,77.11400,0.26975,0.394102
-10.72800,-5.01649,74.39100,0.29019,0.422655
-11.38230,-4.99707,70.61500,0.32439,0.450506
-11.53790,-5.06636,74.83500,0.35199,0.490619
-10.30720,-4.97304,77.09600,0.26439,0.393799
-9.86532,-4.99840,80.82320,0.23999,0.381654
-10.99690,-5.04916,73.86500,0.30769,0.439165
-9.62764,-4.95399,78.34420,0.21377,0.346983
-10.07730,-4.95720,76.02660,0.24215,0.35984
-10.28360,-4.99149,76.27880,0.25802,0.385384
-11.09120,-5.07684,76.67600,0.32341,0.47241
-10.72940,-4.97019,74.62500,0.28978,0.408969
-10.02280,-4.98265,76.71160,0.24067,0.371317
-10.48200,-5.00714,72.51500,0.26490,0.398186
-10.83200,-5.00286,74.81600,0.29905,0.420264
-10.08820,-5.01617,78.41770,0.25171,0.390946
-9.59526,-4.94422,77.45370,0.20757,0.332209
-10.40120,-4.98112,79.21200,0.28026,0.417153
-11.22710,-4.99663,69.95800,0.31353,0.438665
-9.95739,-4.99146,77.79710,0.23747,0.369373
-10.88610,-5.02423,75.60700,0.30529,0.435705
-10.12490,-4.96094,77.55120,0.25041,0.38312
-10.23520,-4.96678,77.67900,0.26249,0.385697
-10.10780,-4.93656,77.16120,0.24698,0.363125
-10.17990,-4.95461,76.82060,0.25332,0.379378
-10.49460,-4.97660,75.74500,0.27505,0.398587
-9.46008,-5.00712,79.30890,0.20304,0.345931
-10.76300,-4.98015,71.67000,0.27939,0.395016
-10.07540,-5.00142,75.53710,0.24052,0.373742
-9.93142,-4.95118,79.64280,0.24207,0.376736
-10.02440,-4.97827,76.55830,0.24021,0.37449
-10.11050,-4.98061,74.13630,0.23938,0.368166
-10.80410,-4.99837,77.06100,0.30433,0.431079
-10.39070,-5.03172,75.56800,0.26503,0.398847
-10.82530,-5.03357,76.79300,0.30444,0.450561
-10.76380,-5.06805,77.24500,0.30124,0.453948
-10.14340,-4.96675,79.19370,0.25867,0.395004
-10.47630,-4.95379,78.39400,0.28277,0.41438
-10.03310,-4.92115,76.62300,0.24068,0.359033
-9.93010,-4.97616,77.47370,0.23396,0.361546
-10.39180,-4.98690,75.64000,0.26661,0.397214
-11.03630,-5.00833,74.37500,0.31019,0.431624
-10.06450,-5.00508,77.87410,0.24774,0.38825
-10.24570,-4.98330,79.28200,0.26771,0.409309
-10.47450,-5.01806,74.64800,0.26620,0.387598
-10.70410,-5.00642,73.16400,0.28116,0.413703
-10.39980,-4.94120,75.29900,0.26754,0.393008
-10.30030,-4.99102,77.79500,0.26556,0.398314
-11.00110,-4.97769,76.17600,0.31365,0.447279
-10.49970,-4.99290,75.69400,0.27591,0.403312
-10.81810,-4.96353,76.06600,0.30569,0.433685
-10.40070,-4.97391,76.66700,0.27098,0.409806
-9.55016,-5.01010,76.78450,0.20312,0.342126
-10.73170,-5.00155,76.40600,0.29768,0.422254
-10.46290,-4.93701,75.93500,0.27488,0.395759
-9.68460,-4.92860,77.38160,0.21483,0.34267
-9.25371,-4.91310,78.79990,0.18290,0.301726
-10.14680,-4.99296,76.85570,0.25035,0.388761
-10.33460,-4.99364,74.04200,0.25779,0.381784
-9.84515,-4.93274,76.03980,0.22497,0.354414
-10.50960,-5.01274,76.45900,0.27840,0.419095
-9.90158,-4.95542,74.80160,0.22356,0.350822
-9.36704,-4.97040,78.97410,0.19352,0.328873
-10.34900,-4.97110,75.65100,0.26388,0.384931
-9.50008,-4.95213,80.96660,0.20895,0.339938
-10.28050,-4.95779,79.68500,0.27107,0.397087
-10.76330,-4.97424,77.46500,0.30469,0.432304
-10.14620,-4.97843,76.27470,0.24791,0.372157
-11.06600,-5.05759,73.66400,0.31026,0.453026
-10.24730,-4.97728,76.13370,0.25653,0.391482
-11.77940,-5.09630,72.14100,0.36158,0.499279
-10.19930,-4.98379,78.59380,0.26242,0.406005
-10.31940,-5.03588,77.95300,0.26842,0.41248
-9.94598,-4.98438,76.58080,0.23294,0.359869
-10.59900,-4.96538,76.83000,0.28698,0.415223
-10.13360,-5.00774,78.29750,0.25339,0.392668
-10.97880,-4.99600,73.16700,0.30431,0.437223
-9.60024,-4.96379,76.56110,0.20692,0.343527
-10.45590,-5.02071,75.94600,0.27194,0.407799
-10.46990,-4.97744,75.41000,0.27039,0.390244
-10.91220,-5.00337,72.83300,0.29810,0.419672
-10.99950,-5.04136,76.21700,0.31935,0.460854
-10.36380,-4.97472,75.99700,0.26787,0.404157
-10.28970,-4.98680,75.23100,0.25768,0.388525
-10.49940,-4.97497,75.81300,0.27749,0.410672
-11.50280,-5.00423,73.74100,0.34837,0.47073
-11.39510,-5.00592,74.70300,0.34710,0.470096
-10.81400,-5.04619,75.64500,0.29805,0.445442
-9.89380,-4.92866,77.74770,0.23297,0.358327
-10.80070,-5.02347,74.64700,0.29308,0.423439
-10.32160,-5.01113,74.14590,0.25372,0.390199
-10.98620,-4.97931,72.05400,0.30093,0.420541
-11.33190,-5.03585,76.44500,0.34476,0.478922
-10.29380,-5.00694,76.38500,0.26185,0.391448
-10.26600,-5.01712,79.37900,0.27072,0.415509
-10.01030,-4.97050,75.67900,0.23598,0.368697
-9.98590,-4.97676,74.85960,0.23188,0.363321
-10.87530,-4.98394,73.13800,0.29399,0.420044
-10.87640,-5.01873,74.11600,0.30231,0.436574
-9.60262,-4.93364,81.70390,0.22217,0.364471
-11.03020,-4.96310,77.59300,0.32386,0.457241
-10.84740,-4.98525,76.68100,0.30870,0.440203
-12.19570,-5.06600,73.03600,0.39311,0.530217
-10.58540,-5.01739,77.38500,0.28932,0.420512
-10.47730,-4.97238,72.66800,0.26193,0.39447
-10.79020,-5.01639,72.50000,0.28908,0.423783
-10.86980,-4.99683,73.64600,0.29762,0.432404
-10.91840,-4.99158,72.90600,0.29809,0.426856
-9.55131,-4.99070,76.60760,0.20216,0.337653
-10.33020,-5.00224,77.81100,0.26941,0.412517
-9.96168,-4.95361,76.49680,0.23544,0.363309
-10.74420,-5.02239,76.77800,0.29808,0.44619
-10.45770,-4.99154,76.47200,0.27211,0.401505
-10.16150,-4.98699,78.37370,0.25813,0.405167
-10.15250,-5.00426,75.55050,0.24684,0.378248
-10.53200,-4.96419,76.38600,0.28079,0.40182
-10.08010,-5.00406,78.54800,0.25306,0.396213
-10.06150,-5.01204,78.45660,0.24950,0.388592
-9.81865,-4.94720,77.62940,0.22781,0.363273
-10.52300,-4.97367,79.34200,0.29008,0.421918
-9.97487,-4.96370,77.93070,0.23981,0.362789
-10.06630,-4.98131,79.90370,0.25439,0.396328
-10.98940,-4.98891,76.53600,0.31652,0.452348
-9.92429,-4.93353,76.38940,0.23110,0.344389
-10.95820,-4.96159,71.24300,0.29745,0.412217
-11.33960,-5.01007,72.17200,0.32975,0.45559
-10.95230,-5.02079,74.24400,0.30232,0.432232
-11.25670,-5.04750,73.38500,0.33115,0.46897
-10.68380,-5.07142,75.39000,0.28669,0.420147
-10.11730,-4.98638,75.77640,0.24338,0.369647
-11.29080,-5.02461,76.28300,0.34056,0.479994
-10.18130,-4.94876,78.73730,0.26012,0.394695
-9.60982,-4.95282,79.04180,0.21479,0.351466
-10.35070,-4.94217,75.28600,0.26175,0.381611
-10.84070,-4.96588,79.59400,0.32050,0.460035
-10.18470,-4.95081,76.72030,0.25280,0.378283
-10.78870,-5.00991,75.23400,0.29509,0.431201
-11.36950,-5.03468,74.08100,0.34060,0.474529
-11.27600,-5.01186,73.01300,0.32729,0.44835
-10.94250,-4.97495,75.52600,0.31346,0.447399
-8.92478,-4.92567,79.49232,0.15818,0.28351
-11.28860,-4.94566,73.96800,0.33235,0.453203
-10.57510,-5.01016,76.29100,0.28353,0.424051
-11.38630,-5.02763,74.92300,0.34302,0.477745
-9.29486,-4.94328,80.39580,0.18951,0.314608
-10.11690,-5.03885,77.09490,0.24891,0.387845
-10.72020,-5.01026,75.30100,0.29007,0.420447
-11.36510,-4.96743,71.92200,0.33143,0.449564
-10.51580,-4.98471,75.79000,0.28005,0.40381
-9.29564,-4.95563,78.23630,0.18584,0.315365
-10.88610,-4.98953,75.79000,0.30951,0.443726
-10.18040,-4.96584,78.34480,0.25994,0.393325
-10.64530,-4.97290,72.53300,0.28528,0.41031
-11.90260,-5.02424,72.21600,0.37483,0.506256
-10.64070,-4.96349,74.02200,0.28334,0.400191
-10.20420,-4.93793,77.04920,0.25414,0.368656
-10.09330,-4.98675,78.34550,0.25120,0.388426
-9.34594,-4.93874,77.94540,0.18962,0.324296
-11.08290,-5.00670,73.66200,0.31358,0.447742
-10.64260,-4.99762,77.43700,0.29478,0.440776
-11.23630,-5.04971,80.24700,0.34957,0.501026
-10.38400,-4.97384,78.04600,0.27517,0.407079
-10.87920,-5.05180,73.24300,0.29431,0.425657
-10.61280,-4.96991,76.29700,0.28841,0.416553
-10.02920,-5.02131,76.59060,0.23926,0.378025
-10.16790,-4.97976,73.71010,0.24431,0.366928
-10.78930,-4.99951,75.80400,0.29894,0.42786
-11.01210,-5.08504,74.20600,0.31056,0.456555
-9.21137,-4.93896,78.55330,0.17968,0.30947
-11.24550,-5.01525,72.79100,0.32382,0.446695
-10.19490,-5.02483,75.76440,0.25130,0.394206
-10.44400,-5.01076,75.71200,0.26939,0.40662
-10.56810,-5.03584,80.42200,0.29532,0.448445
-12.01720,-5.04267,69.61000,0.36559,0.491661
-9.99682,-4.91854,75.46010,0.23478,0.359545
-11.19380,-5.05505,73.27000,0.31887,0.449374
-11.21630,-5.04046,75.59500,0.33590,0.467518
-9.95595,-4.92430,76.48450,0.23426,0.35206
-9.71552,-4.93977,78.02810,0.21917,0.345342
-10.31290,-4.95839,77.65200,0.26676,0.396179
-11.76020,-5.10401,72.82900,0.36768,0.50081
-9.02044,-4.95191,79.53933,0.16732,0.303183
-10.56230,-4.97641,75.76000,0.28083,0.411438
-10.67650,-5.01439,76.19300,0.29267,0.431375
-10.25860,-4.99294,75.19450,0.25549,0.397994
-11.82870,-5.07230,72.72600,0.36868,0.505743
-10.23760,-5.01936,78.85450,0.26526,0.415448
-10.61280,-5.00394,70.21500,0.27180,0.396361
-10.71760,-4.99040,76.68600,0.29579,0.426182
-10.39300,-5.02640,74.46900,0.26112,0.403144
-10.50260,-4.99791,76.00200,0.27801,0.412841
-10.96010,-5.01422,75.42000,0.31283,0.441849
-11.62500,-5.00750,74.86600,0.36324,0.494305
-11.11660,-5.01211,71.89500,0.30880,0.438072
-10.12030,-4.95738,77.61470,0.25222,0.386678
-10.28600,-4.99957,78.85700,0.26838,0.408164
-10.72740,-5.03234,72.72900,0.28232,0.407426
-10.71300,-5.00448,73.64700,0.28521,0.410834
-10.53390,-4.99369,74.97400,0.27554,0.400684
-10.70800,-4.96149,77.73700,0.30003,0.424465
-11.14450,-5.01253,73.29600,0.31762,0.441225
-11.07440,-5.01225,72.66100,0.31076,0.44699
-10.85110,-4.95726,73.54500,0.29732,0.413262
-10.09940,-4.98931,76.54100,0.24636,0.383633
-9.86215,-4.98368,76.48320,0.22674,0.363299
-9.94098,-4.94402,75.95990,0.23046,0.352055
-9.33598,-4.93490,80.23280,0.19400,0.327193
-9.83637,-4.99919,76.98870,0.22605,0.354838
-10.06890,-4.99882,78.39630,0.24817,0.376884
-11.02990,-5.02330,73.41100,0.30845,0.438048
-10.51330,-4.97321,75.83400,0.27437,0.401348
-10.28960,-4.98862,75.07300,0.25727,0.389399
-9.75625,-4.95924,80.30380,0.22967,0.368165
-10.31930,-4.97814,76.19000,0.26124,0.390403
-10.29180,-4.97448,79.04900,0.26938,0.393129
-10.12420,-5.00803,76.62670,0.24745,0.378187
-9.33455,-4.97087,78.23330,0.18908,0.32443
-11.85150,-5.05212,71.30600,0.36127,0.500078
-9.90212,-4.95117,78.15550,0.23500,0.366333
-10.46280,-5.00450,74.68500,0.26757,0.39807
-11.05480,-5.01726,75.96400,0.32341,0.451293
-11.13660,-4.95692,73.67700,0.32408,0.455605
-9.85508,-4.95110,76.87680,0.22636,0.353987
-10.80730,-5.07882,76.50100,0.30163,0.455388
-10.19520,-4.92468,80.42450,0.26786,0.396868
-11.28440,-4.99604,71.41900,0.31966,0.445317
-10.16310,-4.97590,79.14000,0.25775,0.39288
-10.43050,-4.94990,74.10400,0.26351,0.383643
-10.70340,-4.97267,74.67600,0.29129,0.41817
-10.21930,-4.99772,79.60170,0.26685,0.410742
-11.33170,-5.04755,71.23100,0.32209,0.460658
-10.06390,-5.02136,77.29710,0.24454,0.388608
-10.05920,-4.94347,76.03480,0.24388,0.376387
-10.35710,-4.98553,75.05900,0.26365,0.401863
-9.94547,-5.01619,76.50690,0.23344,0.373294
-9.68441,-4.93640,76.36850,0.21085,0.33303
-10.26760,-4.95707,76.74300,0.26204,0.392472
-10.02490,-5.00100,79.68770,0.24963,0.394299
-9.89485,-4.98341,80.27410,0.24141,0.388479
-9.97190,-4.95143,79.56130,0.24602,0.377715
-11.48250,-5.03848,75.42200,0.35411,0.487578
-11.02650,-4.93500,72.24500,0.31025,0.416285
-10.82790,-4.98014,76.73800,0.30681,0.430207
-10.82270,-5.01586,75.30100,0.29891,0.423693
-10.26890,-4.96283,76.77400,0.26128,0.392576
-10.11710,-4.99918,75.89680,0.24592,0.387295
-11.04610,-5.00057,74.29800,0.31299,0.430827
-9.75402,-4.94351,75.33780,0.21435,0.334591
-10.73380,-4.97983,78.84300,0.30487,0.439943
-10.89060,-4.98823,74.75700,0.30176,0.43168
-11.10040,-4.98220,73.66400,0.32068,0.436761
-10.31440,-4.96724,74.90400,0.25725,0.381922
-9.88202,-4.96814,76.39070,0.22962,0.3684
-10.81480,-5.02176,75.73900,0.29872,0.431426
-11.43330,-5.01593,74.91600,0.35305,0.487052
-10.93970,-5.02217,74.57600,0.30587,0.435585
-9.86252,-5.00691,75.73820,0.22376,0.357904
-10.15330,-4.98658,76.54430,0.24980,0.379445
-10.80960,-5.01342,74.69300,0.29494,0.4366
-10.90210,-5.02571,74.01300,0.30042,0.428792
-9.71034,-4.95778,75.30540,0.21116,0.336536
-10.37510,-4.98594,78.08900,0.27295,0.414937
-10.33850,-5.00790,76.52000,0.26556,0.405035
-10.33740,-4.96062,76.39100,0.26382,0.393435
-9.73994,-4.93675,77.14770,0.21822,0.345992
-9.80048,-4.94176,77.24050,0.22386,0.351121
-10.01950,-4.95190,77.20230,0.24341,0.368069
-9.94910,-5.01098,76.93610,0.23257,0.360961
-10.13720,-4.97056,77.64290,0.25365,0.386337
-10.10940,-4.99525,77.34000,0.25009,0.383174
-10.15150,-4.96971,75.39140,0.24286,0.363896
-9.97191,-4.98287,73.14620,0.22443,0.344849
-10.60160,-5.04173,74.52000,0.27971,0.411942
-10.20080,-4.96188,78.19530,0.25849,0.383095
-10.23460,-4.95055,74.01480,0.24763,0.36395
-11.68610,-5.03251,76.06000,0.37525,0.502444
-9.65691,-4.95101,76.74020,0.21019,0.33275
-10.50090,-5.00734,76.36500,0.27712,0.414001
-10.48980,-5.03842,77.45400,0.27665,0.412223
-9.80617,-4.92785,78.83680,0.22796,0.342467
-10.63340,-4.99989,77.08900,0.29143,0.43036
-9.94331,-4.96968,76.94070,0.23450,0.363376
-10.71460,-5.01304,78.80300,0.30380,0.440337
-9.73891,-4.94372,75.60130,0.21433,0.337005
-10.32050,-4.98679,77.57300,0.26653,0.401656
-10.54650,-5.00529,77.56400,0.28362,0.420051
-10.50040,-4.98152,77.70500,0.28052,0.404637
-10.95520,-4.96985,70.96000,0.29856,0.425196
-10.69520,-4.96991,75.16900,0.29038,0.413689
-10.22380,-4.94471,79.89230,0.26807,0.4083
-10.61550,-5.01602,75.23400,0.28240,0.422602
-9.97360,-4.95737,75.34010,0.23029,0.347176
-11.01300,-5.01285,73.20400,0.30673,0.434105
-11.34510,-5.05843,71.94100,0.32409,0.460404
-9.63386,-4.94195,77.62540,0.21148,0.344949
-11.47310,-5.07678,72.53300,0.33509,0.47737
-11.39300,-5.08022,71.02200,0.32611,0.465075
-10.47760,-4.98893,77.64200,0.28049,0.413982
-11.00200,-5.03702,73.04100,0.30514,0.443474
-9.52139,-4.93647,76.98180,0.20060,0.325102
-10.47800,-4.95566,75.57500,0.27068,0.393908
-10.29250,-5.01911,77.07700,0.26188,0.396513
-11.58810,-5.05111,74.26600,0.35200,0.48864
-10.48860,-5.00399,78.39100,0.28498,0.430824
-9.88424,-4.97297,79.47380,0.23780,0.373033
-11.20940,-5.07754,73.78600,0.32302,0.46884
-9.61200,-5.02834,77.83770,0.21012,0.349585
-10.36150,-4.99637,75.66800,0.26410,0.398018
-10.06330,-4.93282,77.97700,0.24812,0.374152
-10.39880,-4.95996,76.77700,0.26885,0.39272
-10.06690,-4.96981,75.14710,0.23904,0.360666
-10.64310,-5.02559,74.19900,0.27913,0.407394
-10.76530,-4.98412,78.79600,0.30701,0.445367
-9.32420,-4.95659,78.56350,0.18900,0.318713
-9.80330,-4.97667,78.50970,0.22714,0.359781
-10.18020,-5.00440,78.31920,0.25964,0.402575
-10.03760,-4.97749,75.06010,0.23729,0.359059
-10.31990,-4.99697,74.31840,0.25536,0.388751
-10.44220,-5.02307,75.98900,0.27035,0.405916
-11.18630,-5.02863,73.94000,0.32210,0.455994
-11.22380,-5.01639,72.92200,0.32295,0.449581
-10.01970,-4.93773,80.14370,0.24978,0.371759
-11.13310,-4.99600,75.29300,0.32495,0.457315
-10.52000,-5.01894,74.73900,0.27378,0.40666
-11.27500,-5.00947,74.69000,0.33793,0.461888
-11.13760,-5.02482,78.46600,0.33455,0.474543
-11.03470,-5.03264,76.23900,0.32185,0.46596
-11.29460,-5.02104,76.41400,0.34169,0.473551
-10.84450,-4.98427,77.78900,0.31198,0.442737
-10.41360,-4.93148,73.17600,0.26314,0.381356
-11.01150,-5.03619,75.53800,0.31731,0.447334
-9.85477,-4.90839,77.43150,0.22930,0.355843
-10.71160,-5.04009,75.53400,0.29105,0.432078
-10.02980,-5.01408,78.33920,0.24717,0.389702
-10.19030,-4.98425,76.88500,0.25573,0.396565
-10.47780,-4.96726,76.80000,0.27775,0.410054
-11.23410,-4.97612,74.68700,0.33365,0.452897
-10.30820,-4.96285,78.00100,0.26782,0.390626
-9.19630,-4.90610,76.68970,0.17398,0.298117
-10.51320,-5.02620,75.79100,0.27441,0.41836
-10.47190,-5.00863,75.77900,0.27296,0.410381
-11.54530,-5.05061,74.95800,0.35589,0.494833
-10.00860,-4.92222,76.15080,0.23700,0.361148
-11.11670,-5.02531,73.11400,0.31630,0.446452
-10.10630,-4.96608,76.51770,0.24581,0.378076
-10.77540,-4.99282,74.86800,0.29368,0.424124
-10.06210,-4.90729,78.34980,0.24801,0.376178
-9.74234,-4.95645,76.83720,0.21874,0.35819
-9.39700,-4.93960,79.08110,0.19712,0.333625
-11.26220,-5.02724,73.84400,0.32784,0.466091
-10.76180,-5.02529,73.31900,0.28533,0.418002
-11.30470,-4.99421,72.28700,0.33039,0.446891
-10.38620,-4.98920,74.75500,0.26211,0.392656
-11.85340,-5.03174,71.96000,0.37011,0.499794
-10.56790,-4.97419,74.71300,0.27872,0.403983
-10.98390,-5.00766,73.86900,0.30672,0.431796
-10.20270,-5.00709,75.53040,0.24993,0.381241
-11.03330,-5.02930,74.24900,0.31355,0.443814
-11.02540,-5.02569,71.41400,0.29778,0.416747
-9.77508,-4.95228,79.07460,0.22602,0.349736
-10.75160,-5.06597,73.93800,0.28565,0.415221
-11.03740,-4.99685,74.66500,0.31391,0.445325
-9.54477,-4.94224,78.01720,0.20638,0.339677
-9.87047,-4.95603,77.60330,0.23043,0.35588
-11.66350,-5.03615,72.78500,0.35839,0.497698
-11.02290,-5.02876,75.65000,0.32210,0.457538
-11.24560,-4.99874,78.67200,0.35097,0.478304
-11.07760,-4.99837,72.73000,0.30783,0.439682
-11.85980,-5.05630,75.84100,0.37634,0.51975
-10.16630,-4.97169,77.28670,0.25404,0.391837
-9.48728,-4.94928,80.65180,0.20721,0.34425
-10.10970,-4.98462,77.24880,0.24888,0.372455
-10.27070,-4.97890,72.85560,0.24598,0.367501
-9.85209,-4.96228,77.51750,0.22803,0.356665
-10.72050,-4.99721,74.26100,0.28872,0.408395
-10.64380,-4.98031,72.89400,0.27765,0.405341
-11.20310,-5.00505,77.31000,0.33859,0.477577
-10.08780,-5.00744,77.18440,0.24569,0.375141
-9.92919,-4.97200,79.03010,0.23960,0.373146
-10.90660,-5.00072,79.61900,0.32011,0.461242
-10.10050,-4.97346,77.37200,0.24893,0.383535
-10.63880,-4.95740,77.45300,0.29612,0.420492
-11.61520,-5.05341,73.04600,0.35484,0.498305
-10.33110,-4.97938,78.02400,0.27230,0.412391
-10.09500,-4.97991,75.22570,0.24186,0.379151
-10.53310,-5.02163,73.59400,0.27095,0.396105
-9.98774,-4.97001,77.03340,0.23779,0.360434
-10.63640,-4.98937,73.57900,0.27911,0.408876
-9.73404,-4.98542,78.33940,0.22165,0.358026
-10.55990,-5.02776,77.57200,0.28790,0.432106
-9.62083,-4.95519,78.31750,0.21316,0.347217
-10.80820,-4.97135,72.60700,0.28812,0.402928
-10.70370,-4.94922,74.85900,0.28987,0.402271
-10.49200,-4.96612,72.67100,0.26214,0.371758
-10.96590,-4.99449,74.26100,0.30589,0.434602
-10.44660,-4.99951,75.89600,0.27005,0.402278
-10.71540,-5.01836,78.12800,0.30030,0.430097
-9.70607,-4.96964,76.47930,0.21466,0.348279
-9.76707,-4.95633,77.56280,0.22191,0.351008
-10.70870,-4.97509,75.25100,0.29271,0.419542
-10.84050,-5.00837,72.63700,0.29004,0.415676
-10.69050,-5.00517,72.46700,0.27939,0.406519
-9.31057,-4.93405,79.27440,0.18986,0.322199
-11.48960,-5.04034,72.83800,0.34207,0.4734
-11.28610,-4.94906,72.73000,0.32620,0.449993
-10.69130,-4.99789,75.65800,0.29272,0.432554
-9.74237,-4.95843,80.98860,0.23090,0.376421
-10.58870,-5.02523,76.46400,0.28643,0.42565
-11.10560,-4.99135,75.72600,0.32257,0.447444
-10.51940,-4.94105,75.44000,0.27375,0.390811
-10.47340,-5.01805,79.80300,0.28909,0.432293
-11.03200,-4.97955,76.63300,0.32477,0.450606
-11.17590,-5.03706,75.35000,0.32669,0.462197
-10.82240,-5.02229,71.31600,0.28558,0.419994
