Ioff,Ion,SS,Vth
9.86783,4.93744,78.3637,0.23264
9.79676,4.97059,80.2824,0.23124
10.1666,4.92036,76.2825,0.2506
11.3888,4.96655,70.898,0.33497
11.0993,4.99543,72.63,0.31333
12.0094,5.04787,71.356,0.37725
10.743,5.00326,72.456,0.28483
9.63449,4.99278,76.8112,0.20975
9.52607,4.96658,77.3768,0.20322
8.98568,4.94213,78.05546,0.16104
10.2579,4.96858,76.975,0.25973
10.3306,4.97029,76.576,0.26492
10.6573,4.96757,77.595,0.29823
10.3805,4.97665,77.114,0.26975
10.728,5.01649,74.391,0.29019
11.3823,4.99707,70.615,0.32439
11.5379,5.06636,74.835,0.35199
10.3072,4.97304,77.096,0.26439
9.86532,4.9984,80.8232,0.23999
10.9969,5.04916,73.865,0.30769
9.62764,4.95399,78.3442,0.21377
10.0773,4.9572,76.0266,0.24215
10.2836,4.99149,76.2788,0.25802
11.0912,5.07684,76.676,0.32341
10.7294,4.97019,74.625,0.28978
10.0228,4.98265,76.7116,0.24067
10.482,5.00714,72.515,0.2649
10.832,5.00286,74.816,0.29905
10.0882,5.01617,78.4177,0.25171
9.59526,4.94422,77.4537,0.20757
10.4012,4.98112,79.212,0.28026
11.2271,4.99663,69.958,0.31353
9.95739,4.99146,77.7971,0.23747
10.8861,5.02423,75.607,0.30529
10.1249,4.96094,77.5512,0.25041
10.2352,4.96678,77.679,0.26249
10.1078,4.93656,77.1612,0.24698
10.1799,4.95461,76.8206,0.25332
10.4946,4.9766,75.745,0.27505
9.46008,5.00712,79.3089,0.20304
10.763,4.98015,71.67,0.27939
10.0754,5.00142,75.5371,0.24052
9.93142,4.95118,79.6428,0.24207
10.0244,4.97827,76.5583,0.24021
10.1105,4.98061,74.1363,0.23938
10.8041,4.99837,77.061,0.30433
10.3907,5.03172,75.568,0.26503
10.8253,5.03357,76.793,0.30444
10.7638,5.06805,77.245,0.30124
10.1434,4.96675,79.1937,0.25867
10.4763,4.95379,78.394,0.28277
10.0331,4.92115,76.623,0.24068
9.9301,4.97616,77.4737,0.23396
10.3918,4.9869,75.64,0.26661
11.0363,5.00833,74.375,0.31019
10.0645,5.00508,77.8741,0.24774
10.2457,4.9833,79.282,0.26771
10.4745,5.01806,74.648,0.2662
10.7041,5.00642,73.164,0.28116
10.3998,4.9412,75.299,0.26754
10.3003,4.99102,77.795,0.26556
11.0011,4.97769,76.176,0.31365
10.4997,4.9929,75.694,0.27591
10.8181,4.96353,76.066,0.30569
10.4007,4.97391,76.667,0.27098
9.55016,5.0101,76.7845,0.20312
10.7317,5.00155,76.406,0.29768
10.4629,4.93701,75.935,0.27488
9.6846,4.9286,77.3816,0.21483
9.25371,4.9131,78.7999,0.1829
10.1468,4.99296,76.8557,0.25035
10.3346,4.99364,74.042,0.25779
9.84515,4.93274,76.0398,0.22497
10.5096,5.01274,76.459,0.2784
9.90158,4.95542,74.8016,0.22356
9.36704,4.9704,78.9741,0.19352
10.349,4.9711,75.651,0.26388
9.50008,4.95213,80.9666,0.20895
